"","V1","V2"
"1","116HG","DOID:11983"
"2","1B FGF-antisense transcripts","DOID:289"
"3","51A","DOID:10652"
"4","RN7SK","DOID:162,DOID:2377"
"5","RN7SL1","DOID:10223,DOID:10222"
"6","ACTA2-AS1","DOID:3910"
"7","AK023948","DOID:3969"
"8","Alu lncRNAs","DOID:4448"
"9","CDKN2B-AS1","DOID:1936,DOID:162,DOID:824,DOID:10283,DOID:7693,DOID:10652,DOID:3627,DOID:2513,DOID:1612,DOID:3393,DOID:9351,DOID:289,DOID:10941,DOID:1686,DOID:1240,DOID:1909,DOID:5844,DOID:8712,DOID:0050830,DOID:5151,DOID:9352,DOID:9408,DOID:3347,DOID:1781,DOID:9256,DOID:2394,DOID:10763,DOID:3121,DOID:1324,DOID:4362,DOID:684,DOID:5041"
"10","anti-NOS2A","DOID:3565"
"11","FMR1-AS1","DOID:14261"
"12","ATP6V1G2-DDX39B","DOID:12930"
"13","BACE1-AS","DOID:10652,DOID:3429,DOID:2394"
"14","BANCR","DOID:1909,DOID:3969,DOID:3347,DOID:768,DOID:684,DOID:9256,DOID:1324"
"15","BC040587","DOID:3347,DOID:1612"
"16","BCAR4","DOID:1612,DOID:3347,DOID:9256"
"17","BCYRN1","DOID:10652,DOID:1612,DOID:4362,DOID:1324,DOID:5041,DOID:2394,DOID:8649"
"18","BDNF-AS","DOID:12858,DOID:5419"
"19","BDNF-AS1","DOID:9970"
"20","BOK-AS1","DOID:162,DOID:2998"
"21","BX118339","DOID:0050562"
"22","C15orf2","DOID:1932,DOID:11983"
"23","C1QTNF9B-AS1","DOID:10283"
"24","CASC2","DOID:1380,DOID:4450,DOID:9256,DOID:1324"
"25","CBR3-AS1","DOID:10283,DOID:684"
"26","CCAT1","DOID:9256,DOID:3910,DOID:1380,DOID:1324,DOID:684,DOID:9119,DOID:1612,DOID:3121,DOID:219"
"27","CCAT2","DOID:1612,DOID:10283,DOID:684,DOID:2394,DOID:0050866,DOID:4362,DOID:1324,DOID:219"
"28","CDKN2B-AS13","DOID:5151"
"29","CDKN2B-AS3","DOID:10941"
"30","CDKN2B-AS4","DOID:162"
"31","CDKN2B-AS5","DOID:9352"
"32","CDKN2B-AS6","DOID:769"
"33","CDKN2B-AS8","DOID:1909"
"34","CDKN2B-AS9","DOID:10283"
"35","CRNDE","DOID:9256,DOID:1040,DOID:4450,DOID:3121,DOID:0050902,DOID:2394"
"36","CTBP1-AS","DOID:10283,DOID:11612"
"37","D4Z4","DOID:11727"
"38","DAOA-AS1","DOID:3312,DOID:594,DOID:5419"
"39","DBET","DOID:11727"
"40","DGCR5","DOID:11198,DOID:12858,DOID:12583"
"41","DISC2","DOID:0060041,DOID:3312,DOID:5419"
"42","DLEU1","DOID:1040,DOID:0060058"
"43","DNM3OS","DOID:2394"
"44","DQ786243","DOID:8778,DOID:9256"
"45","DSCAM-AS1","DOID:1612"
"46","EPB41L4A-AS1","DOID:162"
"47","ESRG","DOID:3308,DOID:10941"
"48","FMR5","DOID:14261"
"49","FMR6","DOID:14261"
"50","GAS5","DOID:1612,DOID:162,DOID:263,DOID:0060058,DOID:1909,DOID:10283,DOID:2394,DOID:10763,DOID:9256,DOID:684,DOID:9352,DOID:1324,DOID:1380,DOID:11934,DOID:3910,DOID:8398,DOID:4362,DOID:0050746,DOID:1793,DOID:4450"
"51","GDNF-AS1","DOID:10652"
"52","H19","DOID:3948,DOID:1936,DOID:5572,DOID:1612,DOID:162,DOID:4362,DOID:3594,DOID:219,DOID:2025,DOID:684,DOID:9279,DOID:5223,DOID:263,DOID:3571,DOID:1324,DOID:0050902,DOID:1909,DOID:3565,DOID:769,DOID:9970,DOID:2394,DOID:3829,DOID:11983,DOID:10591,DOID:10283,DOID:14681,DOID:3393,DOID:9256,DOID:8577,DOID:3498,DOID:3121,DOID:10316,DOID:3347,DOID:1781,DOID:14330,DOID:2876,DOID:3308,DOID:5041,DOID:289,DOID:4450,DOID:8398,DOID:1793"
"53","HAR1A","DOID:10652,DOID:12858,DOID:5419"
"54","HAR1B","DOID:10652,DOID:12858,DOID:5419"
"55","HEIH","DOID:684"
"56","HIF1A-AS1","DOID:263,DOID:9408,DOID:3627"
"57","HIF1A-AS2","DOID:263,DOID:1612"
"58","LINC01370","DOID:9352"
"59","HLA-AS1","DOID:2377,DOID:8893"
"60","HNF1A-AS1","DOID:299,DOID:3347,DOID:684,DOID:1793,DOID:3910"
"61","HOTAIR","DOID:1612,DOID:162,DOID:4362,DOID:219,DOID:9256,DOID:1380,DOID:2394,DOID:684,DOID:2876,DOID:3571,DOID:3910,DOID:1324,DOID:0050866,DOID:1793,DOID:7148,DOID:4451,DOID:12603,DOID:3347,DOID:9253,DOID:3969,DOID:0050745,DOID:14330,DOID:10283,DOID:9119,DOID:5520,DOID:3498,DOID:3717,DOID:10591,DOID:6271,DOID:8398,DOID:2129,DOID:3121,DOID:4450,DOID:3829,DOID:1909"
"62","HOTTIP","DOID:684,DOID:1793,DOID:9256,DOID:3347,DOID:10283,DOID:3498,DOID:1324,DOID:0050865,DOID:10487"
"63","HTT-AS","DOID:12858"
"64","HTTAS_v1","DOID:12858"
"65","HULC","DOID:684,DOID:3571,DOID:1793,DOID:3347,DOID:9256,DOID:4362,DOID:0050745,DOID:1936,DOID:5082,DOID:5041"
"66","HYMAI","DOID:0060334"
"67","IFNG-AS1","DOID:2377"
"68","IGF2-AS","DOID:684,DOID:10283,DOID:9744"
"69","IPW","DOID:11983"
"70","KCNQ1OT1","DOID:5572,DOID:9256,DOID:684,DOID:263,DOID:9408,DOID:1612"
"71","KRAS1P","DOID:162"
"72","LINC00850","DOID:11723"
"73","LALR","DOID:684"
"74","LINC00032","DOID:1909"
"75","PICSAR","DOID:8986"
"76","LINC00271","DOID:5419,DOID:9352"
"77","LINC00963","DOID:10283,DOID:4450"
"78","LINC01262","DOID:14330"
"79","LINCMD1","DOID:11723"
"80","lincRNA-p21","DOID:1324,DOID:162"
"81","lncRNA-ATB","DOID:684,DOID:9256,DOID:10316,DOID:4450"
"82","LncRNA-LALR1","DOID:3571"
"83","NPTN-IT1","DOID:162,DOID:9256,DOID:684"
"84","lncRNA-MVIH","DOID:684"
"85","LOC554202","DOID:1612,DOID:9256"
"86","LOC728606","DOID:10283"
"87","TUSC7","DOID:3347,DOID:684,DOID:9119"
"88","LSINCT5","DOID:1612,DOID:2394"
"89","MALAT1","DOID:1612,DOID:162,DOID:4362,DOID:219,DOID:9256,DOID:9351,DOID:1380,DOID:3121,DOID:684,DOID:263,DOID:2876,DOID:3571,DOID:3910,DOID:1324,DOID:769,DOID:3347,DOID:1793,DOID:10283,DOID:4450,DOID:9538,DOID:9408,DOID:4467,DOID:5041,DOID:14330,DOID:6039,DOID:255,DOID:1781,DOID:0050865,DOID:2394,DOID:1909,DOID:332,DOID:3498,DOID:9719,DOID:10591,DOID:0050866,DOID:8947"
"90","MAP3K14","DOID:3498"
"91","MEG3","DOID:9119,DOID:1612,DOID:162,DOID:8552,DOID:219,DOID:684,DOID:12858,DOID:263,DOID:1324,DOID:3565,DOID:0050908,DOID:769,DOID:3829,DOID:10283,DOID:9352,DOID:4362,DOID:1380,DOID:3910,DOID:768,DOID:9256,DOID:0050865,DOID:1793,DOID:9351,DOID:3347,DOID:3121,DOID:4450,DOID:8398,DOID:1781,DOID:9538"
"92","MESTIT1","DOID:14681"
"93","MIAT","DOID:162,DOID:5844,DOID:5419,DOID:9408,DOID:1040,DOID:10652,DOID:3910,DOID:10283,DOID:8947,DOID:12930"
"94","MINA","DOID:684,DOID:1324"
"95","MIR100HG","DOID:11830,DOID:4362,DOID:769,DOID:8692"
"96","MIR155HG","DOID:1040"
"97","MIR17HG","DOID:162,DOID:0060058"
"98","MIR31HG","DOID:1612,DOID:3498"
"99","MIR7-3HG","DOID:684,DOID:3571"
"100","NAMA","DOID:3969"
"101","SNHG16","DOID:769,DOID:9256"
"102","NDM29","DOID:769"
"103","NEAT1","DOID:332,DOID:12858,DOID:0050866,DOID:5223,DOID:1380,DOID:2394,DOID:1612,DOID:9074,DOID:1240,DOID:2377,DOID:14330,DOID:3717,DOID:2876,DOID:9256,DOID:684,DOID:1040,DOID:10283,DOID:0060318"
"104","PAN","DOID:8632"
"105","PANDAR","DOID:162,DOID:9256,DOID:1612,DOID:4450,DOID:684"
"106","PCA3","DOID:10283"
"107","PCAT1","DOID:162,DOID:10283,DOID:684,DOID:1324,DOID:9256"
"108","PCGEM1","DOID:10283,DOID:8398"
"109","PCNA-AS1","DOID:162,DOID:684"
"110","PCNCR1","DOID:10283"
"111","PDZRN3-AS1","DOID:9352"
"112","PINK1-AS","DOID:9351,DOID:14330"
"113","PRNCR1","DOID:10283,DOID:9256"
"114","PSORS1C3","DOID:8893"
"115","PTCSC1","DOID:3969"
"116","PTCSC3","DOID:3969,DOID:1781"
"117","PTENP1","DOID:162,DOID:10283,DOID:4450,DOID:684"
"118","PTENpg1","DOID:162"
"119","PVT1","DOID:1612,DOID:8584,DOID:162,DOID:9296,DOID:2370,DOID:8567,DOID:0060058,DOID:3721,DOID:2394,DOID:1793,DOID:10283,DOID:263,DOID:9352,DOID:684,DOID:3907,DOID:4362,DOID:5041,DOID:2841,DOID:4451,DOID:4450,DOID:0060318,DOID:1781,DOID:9256,DOID:707,DOID:9538"
"120","REST/CoREST-regulated lncRNAs","DOID:12858"
"121","RMST","DOID:3247,DOID:1612"
"122","SCHLAP1","DOID:10283"
"123","SNHG11","DOID:9970"
"124","SNHG3","DOID:10652,DOID:684"
"125","SNHG4","DOID:0050908"
"126","SNHG5","DOID:0060058,DOID:1909"
"127","SOX2-OT","DOID:10652,DOID:9256,DOID:1324,DOID:1612,DOID:3907,DOID:684"
"128","SPRY4-IT1","DOID:1909,DOID:4362,DOID:9256,DOID:684,DOID:10283,DOID:1324,DOID:1612,DOID:4467,DOID:10591"
"129","TC0100223","DOID:162"
"130","TC0101441","DOID:162,DOID:2394"
"131","TC0101686","DOID:162"
"132","TCL6","DOID:1240,DOID:0060058,DOID:4450"
"133","TDRG1","DOID:2998,DOID:12449"
"134","TERC","DOID:2729,DOID:10283,DOID:3907"
"135","THRIL","DOID:13378"
"136","TINCR","DOID:1749,DOID:9256"
"137","TRAF3IP2-AS1","DOID:5419"
"138","T-UCRs","DOID:769"
"139","TUG1","DOID:12858,DOID:1612,DOID:784,DOID:2394,DOID:3347,DOID:219,DOID:9256,DOID:687,DOID:684,DOID:4450,DOID:2377,DOID:10283,DOID:1909,DOID:4006"
"140","TUSC8","DOID:4362"
"141","U1 spliceosomal lncRNA","DOID:14330"
"142","SNHG14","DOID:1932,DOID:11983"
"143","UBE3A-ATS","DOID:1932"
"144","UCA1","DOID:0050866,DOID:1749,DOID:0050865,DOID:162,DOID:684,DOID:1612,DOID:5041,DOID:1793,DOID:2394,DOID:3498,DOID:1380,DOID:1909,DOID:3347,DOID:3571,DOID:9256,DOID:9408,DOID:4450,DOID:219,DOID:10283,DOID:1324,DOID:9119"
"145","WRAP53","DOID:162,DOID:2729,DOID:684"
"146","WT1-AS","DOID:9119,DOID:684"
"147","XIST","DOID:1612,DOID:162,DOID:1921,DOID:2998,DOID:684,DOID:2394"
"148","LINC00538","DOID:162,DOID:9256"
"149","ZFAS1","DOID:1612,DOID:684,DOID:9256"
"150","LINC01133","DOID:3907,DOID:9256"
"151","lnc-LCE5A-1","DOID:5520"
"152","FAM3D-AS1","DOID:5520"
"153","AS Uchl1","DOID:14330"
"154","LOC728228","DOID:1324"
"155","DRAIC","DOID:162,DOID:3910,DOID:4467,DOID:684,DOID:8923"
"156","NBAT1","DOID:769,DOID:1612,DOID:4467"
"157","ENST00000480739","DOID:3498"
"158","RP5-833A20.1","DOID:1936"
"159","LINC-ROR","DOID:1612,DOID:3121,DOID:9256,DOID:219,DOID:1793,DOID:684,DOID:1380"
"160","AC006050.3","DOID:3907"
"161","WNT4","DOID:289"
"162","HA117","DOID:10487"
"163","TARID","DOID:162,DOID:4880"
"164","GSEC","DOID:219"
"165","AFAP1-AS1","DOID:3910,DOID:3498,DOID:9256,DOID:684,DOID:1324,DOID:1793"
"166","LINC00511","DOID:3910,DOID:1612"
"167","NONHSAT076747","DOID:3969"
"168","NONHSAT122730","DOID:3969"
"169","NONHSAG051968","DOID:3969"
"170","HOXA11-AS","DOID:4362,DOID:2394"
"171","NBR2","DOID:162"
"172","ASBEL","DOID:9256"
"173","FOXP4-AS1","DOID:9256"
"174","HOTAIRM1","DOID:1240,DOID:9256,DOID:0060318,DOID:3498,DOID:9119"
"175","91H","DOID:1612,DOID:3347,DOID:9256"
"176","PCAT14","DOID:10283"
"177","LOC100287225","DOID:9256"
"178","AK098081","DOID:9256"
"179","BC040303","DOID:9256"
"180","BC037331","DOID:9256"
"181","CR749831","DOID:9256"
"182","linc-cdh4-2","DOID:684"
"183","numb","DOID:6039"
"184","AC012065.7","DOID:1040"
"185","JPX","DOID:684"
"186","ZEB2-AS1","DOID:684"
"187","SNHG7","DOID:1324"
"188","RP1130-1","DOID:684"
"189","LINC00161","DOID:3347"
"190","Unigene56159","DOID:684"
"191","HCG11","DOID:10283"
"192","CCDC26","DOID:1793,DOID:9119,DOID:1612"
"193","CCEPR","DOID:684,DOID:4362"
"194","DANCR","DOID:10283,DOID:1612,DOID:3347,DOID:9256,DOID:684"
"195","MIR2052HG","DOID:1612"
"196","GPC3-AS1","DOID:684"
"197","GIHCG","DOID:684"
"198","ENSMUST00000147869","DOID:2370"
"199","RP11-702B10.1","DOID:5041"
"200","RP11-523H24.3","DOID:5041"
"201","CYTOR","DOID:219,DOID:1612,DOID:4450,DOID:684,DOID:1793"
"202","KIAA0087","DOID:1380"
"203","RP11-501O2","DOID:1380"
"204","FAM212B-AS1","DOID:1380"
"205","LOC102723552","DOID:1380"
"206","RP11-140I24","DOID:1380"
"207","RP11-600K151","DOID:1380"
"208","ENST00000438347","DOID:684"
"209","LINC00601","DOID:684"
"210","CXCL1P1","DOID:684"
"211","CASC11","DOID:684,DOID:9256"
"212","LRRC75A-AS1","DOID:7148"
"213","ENST00000438399","DOID:7148"
"214","uc004afb.1","DOID:7148"
"215","RPKG1-AS1","DOID:7148"
"216","NEXN-AS1","DOID:1324"
"217","uc.338","DOID:1324,DOID:684"
"218","MSNP1AS","DOID:0060041"
"219","uc.345","DOID:1793"
"220","GATA6-AS1","DOID:1040"
"221","LOC285194","DOID:9256,DOID:3498"
"222","RP11-462C24.1","DOID:9256"
"223","lncCAMTA1","DOID:3571"
"224","ASAP1-IT1","DOID:2394"
"225","FAM215A","DOID:2394"
"226","LINC00472","DOID:2394,DOID:1612"
"227","RP11-248E9.5","DOID:552"
"228","RP11-456D7.1","DOID:552"
